Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
41,Travel_Rarely,555,Research & Development,12,4,Medical,1,1000,3,Male,83,4,2,Research Scientist,4,Divorced,6339.51,3751,1,Y,No,23,3,4,80,0,19,5,4,15,4,13,13,No
35,Travel_Rarely,1483,Research & Development,15,4,Marketing,1,1001,1,Male,74,3,2,Healthcare Representative,3,Divorced,4327.96,21041,3,Y,No,17,3,1,80,2,16,6,1,7,5,4,2,No
42,Non-Travel,1191,Research & Development,2,3,Medical,1,1002,2,Male,66,1,4,Research Scientist,2,Single,9932.93,14167,3,Y,Yes,21,4,3,80,1,22,3,3,11,2,4,3,Yes
50,Travel_Rarely,1106,Research & Development,14,3,Medical,1,1003,3,Female,77,2,3,Laboratory Technician,2,Single,8034.34,24507,3,Y,No,17,3,3,80,3,30,0,1,25,14,20,6,No
34,Travel_Frequently,962,Research & Development,13,2,Life Sciences,1,1004,3,Female,83,1,1,Research Director,2,Married,3662.84,7524,6,Y,No,21,3,2,80,2,15,6,2,15,4,13,14,No
34,Travel_Frequently,590,Sales,4,3,Life Sciences,1,1005,3,Female,77,2,1,Sales Representative,3,Married,3794.08,20735,0,Y,Yes,13,3,1,80,2,12,2,3,11,7,7,2,Yes
51,Travel_Rarely,1172,Research & Development,14,3,Medical,1,1006,2,Male,35,1,3,Healthcare Representative,4,Single,7758.03,17183,7,Y,No,24,3,4,80,3,31,3,3,11,4,11,3,No
43,Travel_Rarely,663,Research & Development,14,3,Life Sciences,1,1007,2,Female,63,4,2,Research Scientist,1,Single,5934.75,19673,9,Y,Yes,11,3,4,80,2,25,4,3,18,13,4,3,Yes
32,Travel_Rarely,1225,Research & Development,16,4,Life Sciences,1,1008,1,Female,92,2,1,Research Scientist,4,Married,2953.77,13315,8,Y,No,19,3,3,80,2,13,6,2,7,4,7,6,Yes
41,Travel_Rarely,315,Research & Development,7,2,Marketing,1,1009,1,Male,77,4,1,Research Scientist,2,Divorced,4100.25,4702,9,Y,No,21,3,2,80,3,23,4,3,16,2,3,5,No
32,Travel_Frequently,658,Research & Development,19,4,Life Sciences,1,1010,3,Male,52,3,4,Laboratory Technician,3,Married,9604.67,10835,5,Y,No,15,3,1,80,1,14,0,4,12,2,0,2,No
32,Non-Travel,258,Research & Development,2,5,Medical,1,1011,3,Male,42,2,3,Manufacturing Director,3,Married,7574.67,21289,3,Y,Yes,12,3,2,80,0,11,1,2,5,5,1,0,Yes
39,Travel_Rarely,588,Research & Development,10,4,Medical,1,1012,2,Female,76,4,5,Research Scientist,2,Divorced,11783.31,16542,5,Y,Yes,25,3,1,80,0,21,3,4,17,2,17,15,No
19,Travel_Rarely,785,Research & Development,18,5,Other,1,1013,2,Male,73,1,3,Laboratory Technician,3,Married,6864.62,14259,9,Y,No,18,3,2,80,3,1,6,4,0,0,0,0,Yes
21,Travel_Frequently,1365,Research & Development,29,1,Medical,1,1014,1,Male,61,4,4,Research Scientist,2,Married,8723.28,23053,6,Y,No,22,3,2,80,3,0,6,2,0,0,0,0,Yes
31,Travel_Rarely,893,Research & Development,17,1,Life Sciences,1,1015,1,Female,55,2,1,Research Scientist,4,Married,3439.48,4922,5,Y,No,20,3,4,80,1,10,0,1,2,0,0,0,Yes
