employee_id,full_name,department,job_role,monthly_income,overtime,risk_score,risk_category,recommended_actions
EMP1,Employee #1,Sales,Sales Executive,5993.0,Yes,0.9730057550624752,High Risk,Reduce overtime load where possible to prevent burnout.; Critical work-life balance issues. Explore flexible hours or remote work options.
EMP2,Employee #2,Research & Development,Research Scientist,5130.0,No,0.5859646523351622,High Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.
EMP4,Employee #4,Research & Development,Laboratory Technician,2090.0,Yes,0.9493331438651,High Risk,Reduce overtime load where possible to prevent burnout.; Compensation check. Monthly income is below average; review compensation structure.
EMP5,Employee #5,Research & Development,Research Scientist,2909.0,Yes,0.9615685187547119,High Risk,Reduce overtime load where possible to prevent burnout.; Compensation check. Monthly income is below average; review compensation structure.
EMP7,Employee #7,Research & Development,Laboratory Technician,3468.0,No,0.8998067439550216,High Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.; Compensation check. Monthly income is below average; review compensation structure.
EMP8,Employee #8,Research & Development,Laboratory Technician,3068.0,No,0.8212928476706326,High Risk,Review work schedule for better balance.; Compensation check. Monthly income is below average; review compensation structure.
EMP10,Employee #10,Research & Development,Laboratory Technician,2670.0,Yes,0.8621846311412135,High Risk,Reduce overtime load where possible to prevent burnout.; Low job satisfaction detected. Recommend a career development check-in.; Review work schedule for better balance.; New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.; Compensation check. Monthly income is below average; review compensation structure.
EMP11,Employee #11,Research & Development,Laboratory Technician,2693.0,No,0.9928850294993598,High Risk,New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.; Compensation check. Monthly income is below average; review compensation structure.
EMP12,Employee #12,Research & Development,Manufacturing Director,9526.0,No,0.23045190518660183,Low Risk,Continue standard engagement and positive reinforcement.
EMP13,Employee #13,Research & Development,Healthcare Representative,5237.0,No,0.05105793631157625,Low Risk,Review work schedule for better balance.
EMP14,Employee #14,Research & Development,Laboratory Technician,2426.0,No,0.9748361014752535,High Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.; Compensation check. Monthly income is below average; review compensation structure.
EMP15,Employee #15,Research & Development,Laboratory Technician,4193.0,Yes,0.5666840515981232,High Risk,Reduce overtime load where possible to prevent burnout.
EMP16,Employee #16,Research & Development,Research Scientist,2911.0,No,0.8382116969847279,High Risk,Review work schedule for better balance.; Compensation check. Monthly income is below average; review compensation structure.
EMP18,Employee #18,Research & Development,Laboratory Technician,2661.0,No,0.8773752346996401,High Risk,Compensation check. Monthly income is below average; review compensation structure.
EMP19,Employee #19,Research & Development,Laboratory Technician,2028.0,Yes,0.9732819857619609,High Risk,Reduce overtime load where possible to prevent burnout.; Compensation check. Monthly income is below average; review compensation structure.
EMP20,Employee #20,Research & Development,Manufacturing Director,9980.0,No,0.8103618749769396,High Risk,Low job satisfaction detected. Recommend a career development check-in.
EMP21,Employee #21,Research & Development,Research Scientist,3298.0,Yes,0.9914609002287286,High Risk,Reduce overtime load where possible to prevent burnout.; Moderate job satisfaction. Seek feedback on potential workplace friction points.; Review work schedule for better balance.; Compensation check. Monthly income is below average; review compensation structure.
EMP22,Employee #22,Research & Development,Laboratory Technician,2935.0,Yes,0.9956232431345741,High Risk,Reduce overtime load where possible to prevent burnout.; Review work schedule for better balance.; New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.; Compensation check. Monthly income is below average; review compensation structure.
EMP23,Employee #23,Sales,Manager,15427.0,No,0.2571142980348488,Low Risk,Continue standard engagement and positive reinforcement.
EMP24,Employee #24,Research & Development,Research Scientist,3944.0,Yes,0.6625500680464439,High Risk,Reduce overtime load where possible to prevent burnout.
EMP26,Employee #26,Research & Development,Manufacturing Director,4011.0,No,0.5780941647763008,High Risk,Review work schedule for better balance.
EMP27,Employee #27,Sales,Sales Representative,3407.0,No,0.9027164382046432,High Risk,Low job satisfaction detected. Recommend a career development check-in.; Compensation check. Monthly income is below average; review compensation structure.
EMP28,Employee #28,Research & Development,Research Director,11994.0,No,0.2231048900146452,Low Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.
EMP30,Employee #30,Research & Development,Research Scientist,1232.0,No,0.8452385046828264,High Risk,Compensation check. Monthly income is below average; review compensation structure.
EMP31,Employee #31,Research & Development,Research Scientist,2960.0,No,0.8203441177252707,High Risk,Low job satisfaction detected. Recommend a career development check-in.; Compensation check. Monthly income is below average; review compensation structure.
EMP32,Employee #32,Research & Development,Manager,19094.0,No,0.016138433337633692,Low Risk,Review work schedule for better balance.
EMP33,Employee #33,Research & Development,Research Scientist,3919.0,Yes,0.9895376117368414,High Risk,Reduce overtime load where possible to prevent burnout.; Low job satisfaction detected. Recommend a career development check-in.
EMP35,Employee #35,Sales,Sales Executive,6825.0,No,0.06124597859043627,Low Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.
EMP36,Employee #36,Research & Development,Healthcare Representative,10248.0,No,0.3278799686595022,Low Risk,Continue standard engagement and positive reinforcement.
EMP38,Employee #38,Sales,Manager,18947.0,No,0.29263726324028794,Low Risk,Low job satisfaction detected. Recommend a career development check-in.; Review work schedule for better balance.
